"中正區","Zhongzheng Dist."
"大同區","Datong Dist."
"中山區","Zhongshan Dist."
"松山區","Songshan Dist."
"大安區","Da'an Dist."
"萬華區","Wanhua Dist."
"信義區","Xinyi Dist."
"士林區","Shilin Dist."
"北投區","Beitou Dist."
"內湖區","Neihu Dist."
"南港區","Nangang Dist."
"文山區","Wenshan Dist."
"仁愛區","Ren'ai Dist."
"信義區","Xinyi Dist."
"中正區","Zhongzheng Dist."
"中山區","Zhongshan Dist."
"安樂區","Anle Dist."
"暖暖區","Nuannuan Dist."
"七堵區","Qidu Dist."
"萬里區","Wanli Dist."
"金山區","Jinshan Dist."
"南竿鄉","Nangan Township"
"北竿鄉","Beigan Township"
"莒光鄉","Juguang Township"
"東引鄉","Dongyin Township"
"板橋區","Banqiao Dist."
"汐止區","Xizhi Dist."
"深坑區","Shenkeng Dist."
"石碇區","Shiding Dist."
"瑞芳區","Ruifang Dist."
"平溪區","Pingxi Dist."
"雙溪區","Shuangxi Dist."
"貢寮區","Gongliao Dist."
"新店區","Xindian Dist."
"坪林區","Pinglin Dist."
"烏來區","Wulai Dist."
"永和區","Yonghe Dist."
"中和區","Zhonghe Dist."
"土城區","Tucheng Dist."
"三峽區","Sanxia Dist."
"樹林區","Shulin Dist."
"鶯歌區","Yingge Dist."
"三重區","Sanchong Dist."
"新莊區","Xinzhuang Dist."
"泰山區","Taishan Dist."
"林口區","Linkou Dist."
"蘆洲區","Luzhou Dist."
"五股區","Wugu Dist."
"八里區","Bali Dist."
"淡水區","Tamsui Dist."
"三芝區","Sanzhi Dist."
"石門區","Shimen Dist."
"宜蘭市","Yilan City"
"頭城鎮","Toucheng Township"
"礁溪鄉","Jiaoxi Township"
"壯圍鄉","Zhuangwei Township"
"員山鄉","Yuanshan Township"
"羅東鎮","Luodong Township"
"三星鄉","Sanxing Township"
"大同鄉","Datong Township"
"五結鄉","Wujie Township"
"冬山鄉","Dongshan Township"
"蘇澳鎮","Su'ao Township"
"南澳鄉","Nan'ao Township"
"東區","East Dist."
"北區","North Dist."
"香山區","Xiangshan Dist."
"竹北市","Zhubei City"
"湖口鄉","Hukou Township"
"新豐鄉","Xinfeng Township"
"新埔鎮","Xinpu Township"
"關西鎮","Guanxi Township"
"芎林鄉","Qionglin Township"
"寶山鄉","Baoshan Township"
"竹東鎮","Zhudong Township"
"五峰鄉","Wufeng Township"
"橫山鄉","Hengshan Township"
"尖石鄉","Jianshi Township"
"北埔鄉","Beipu Township"
"峨眉鄉","Emei Township"
"中壢市","Zhongli City"
"平鎮市","Pingzhen City"
"龍潭鄉","Longtan Township"
"楊梅市","Yangmei City"
"新屋鄉","Xinwu Township"
"觀音鄉","Guanyin Township"
"桃園市","Taoyuan City"
"龜山鄉","Guishan Township"
"八德市","Bade City"
"大溪鎮","Daxi Township"
"復興鄉","Fuxing Township"
"大園鄉","Dayuan Township"
"蘆竹鄉","Luzhu Township"
"竹南鎮","Zhunan Township"
"頭份鎮","Toufen Township"
"三灣鄉","Sanwan Township"
"南庄鄉","Nanzhuang Township"
"獅潭鄉","Shitan Township"
"後龍鎮","Houlong Township"
"通霄鎮","Tongxiao Township"
"苑裡鎮","Yuanli Township"
"苗栗市","Miaoli City"
"造橋鄉","Zaoqiao Township"
"頭屋鄉","Touwu Township"
"公館鄉","Gongguan Township"
"大湖鄉","Dahu Township"
"泰安鄉","Tai'an Township"
"銅鑼鄉","Tongluo Township"
"三義鄉","Sanyi Township"
"西湖鄉","Xihu Township"
"卓蘭鎮","Zhuolan Township"
"中區","Central Dist."
"東區","East Dist."
"南區","South Dist."
"西區","West Dist."
"北區","North Dist."
"北屯區","Beitun Dist."
"西屯區","Xitun Dist."
"南屯區","Nantun Dist."
"太平區","Taiping Dist."
"大里區","Dali Dist."
"霧峰區","Wufeng Dist."
"烏日區","Wuri Dist."
"豐原區","Fengyuan Dist."
"后里區","Houli Dist."
"石岡區","Shigang Dist."
"東勢區","Dongshi Dist."
"和平區","Heping Dist."
"新社區","Xinshe Dist."
"潭子區","Tanzi Dist."
"大雅區","Daya Dist."
"神岡區","Shengang Dist."
"大肚區","Dadu Dist."
"沙鹿區","Shalu Dist."
"龍井區","Longjing Dist."
"梧棲區","Wuqi Dist."
"清水區","Qingshui Dist."
"大甲區","Dajia Dist."
"外埔區","Waipu Dist."
"大安區","Da'an Dist."
"彰化市","Changhua City"
"芬園鄉","Fenyuan Township"
"花壇鄉","Huatan Township"
"秀水鄉","Xiushui Township"
"鹿港鎮","Lukang Township"
"福興鄉","Fuxing Township"
"線西鄉","Xianxi Township"
"和美鎮","Hemei Township"
"伸港鄉","Shengang Township"
"員林鎮","Yuanlin Township"
"社頭鄉","Shetou Township"
"永靖鄉","Yongjing Township"
"埔心鄉","Puxin Township"
"溪湖鎮","Xihu Township"
"大村鄉","Dacun Township"
"埔鹽鄉","Puyan Township"
"田中鎮","Tianzhong Township"
"北斗鎮","Beidou Township"
"田尾鄉","Tianwei Township"
"埤頭鄉","Pitou Township"
"溪州鄉","Xizhou Township"
"竹塘鄉","Zhutang Township"
"二林鎮","Erlin Township"
"大城鄉","Dacheng Township"
"芳苑鄉","Fangyuan Township"
"二水鄉","Ershui Township"
"南投市","Nantou City"
"中寮鄉","Zhongliao Township"
"草屯鎮","Caotun Township"
"國姓鄉","Guoxing Township"
"埔里鎮","Puli Township"
"仁愛鄉","Ren'ai Township"
"名間鄉","Mingjian Township"
"集集鎮","Jiji Township"
"水里鄉","Shuili Township"
"魚池鄉","Yuchi Township"
"信義鄉","Xinyi Township"
"竹山鎮","Zhushan Township"
"鹿谷鄉","Lugu Township"
"東區","East Dist."
"西區","West Dist."
"番路鄉","Fanlu Township"
"梅山鄉","Meishan Township"
"竹崎鄉","Zhuqi Township"
"阿里山鄉","Alishan Township"
"中埔鄉","Zhongpu Township"
"大埔鄉","Dapu Township"
"水上鄉","Shuishang Township"
"鹿草鄉","Lucao Township"
"太保市","Taibao City"
"朴子市","Puzi City"
"東石鄉","Dongshi Township"
"六腳鄉","Liujiao Township"
"新港鄉","Xingang Township"
"民雄鄉","Minxiong Township"
"大林鎮","Dalin Township"
"溪口鄉","Xikou Township"
"義竹鄉","Yizhu Township"
"布袋鎮","Budai Township"
"斗南鎮","Dounan Township"
"大埤鄉","Dapi Township"
"虎尾鎮","Huwei Township"
"土庫鎮","Tuku Township"
"褒忠鄉","Baozhong Township"
"東勢鄉","Dongshi Township"
"臺西鄉","Taixi Township"
"崙背鄉","Lunbei Township"
"麥寮鄉","Mailiao Township"
"斗六市","Douliu City"
"林內鄉","Linnei Township"
"古坑鄉","Gukeng Township"
"莿桐鄉","Citong Township"
"西螺鎮","Xiluo Township"
"二崙鄉","Erlun Township"
"北港鎮","Beigang Township"
"水林鄉","Shuilin Township"
"口湖鄉","Kouhu Township"
"四湖鄉","Sihu Township"
"元長鄉","Yuanchang Township"
"中西區","West Central Dist."
"東區","East Dist."
"南區","South Dist."
"北區","North Dist."
"安平區","Anping Dist."
"安南區","Annan Dist."
"永康區","Yongkang Dist."
"歸仁區","Guiren Dist."
"新化區","Xinhua Dist."
"左鎮區","Zuozhen Dist."
"玉井區","Yujing Dist."
"楠西區","Nanxi Dist."
"南化區","Nanhua Dist."
"仁德區","Rende Dist."
"關廟區","Guanmiao Dist."
"龍崎區","Longqi Dist."
"官田區","Guantian Dist."
"麻豆區","Madou Dist."
"佳里區","Jiali Dist."
"西港區","Xigang Dist."
"七股區","Qigu Dist."
"將軍區","Jiangjun Dist."
"學甲區","Xuejia Dist."
"北門區","Beimen Dist."
"新營區","Xinying Dist."
"後壁區","Houbi Dist."
"白河區","Baihe Dist."
"東山區","Dongshan Dist."
"六甲區","Liujia Dist."
"下營區","Xiaying Dist."
"柳營區","Liuying Dist."
"鹽水區","Yanshui Dist."
"善化區","Shanhua Dist."
"大內區","Danei Dist."
"山上區","Shanshang Dist."
"新市區","Xinshi Dist."
"安定區","Anding Dist."
"新興區","Xinxing Dist."
"前金區","Qianjin Dist."
"苓雅區","Lingya Dist."
"鹽埕區","Yancheng Dist."
"鼓山區","Gushan Dist."
"旗津區","Qijin Dist."
"前鎮區","Qianzhen Dist."
"三民區","Sanmin Dist."
"楠梓區","Nanzi Dist."
"小港區","Xiaogang Dist."
"左營區","Zuoying Dist."
"仁武區","Renwu Dist."
"大社區","Dashe Dist."
"東沙群島","Dongsha Islands"
"南沙群島","Nansha Islands"
"岡山區","Gangshan Dist."
"路竹區","Luzhu Dist."
"阿蓮區","Alian Dist."
"田寮區","Tianliao Dist."
"燕巢區","Yanchao Dist."
"橋頭區","Qiaotou Dist."
"梓官區","Ziguan Dist."
"彌陀區","Mituo Dist."
"永安區","Yong'an Dist."
"湖內區","Hunei Dist."
"鳳山區","Fengshan Dist."
"大寮區","Daliao Dist."
"林園區","Linyuan Dist."
"鳥松區","Niaosong Dist."
"大樹區","Dashu Dist."
"旗山區","Qishan Dist."
"美濃區","Meinong Dist."
"六龜區","Liugui Dist."
"內門區","Neimen Dist."
"杉林區","Shanlin Dist."
"甲仙區","Jiaxian Dist."
"桃源區","Taoyuan Dist."
"那瑪夏區","Namaxia Dist."
"茂林區","Maolin Dist."
"茄萣區","Qieding Dist."
"馬公市","Magong City"
"西嶼鄉","Xiyu Township"
"望安鄉","Wang'an Township"
"七美鄉","Qimei Township"
"白沙鄉","Baisha Township"
"湖西鄉","Huxi Township"
"金沙鎮","Jinsha Township"
"金湖鎮","Jinhu Township"
"金寧鄉","Jinning Township"
"金城鎮","Jincheng Township"
"烈嶼鄉","Lieyu Township"
"烏坵鄉","Wuqiu Township"
"屏東市","Pingtung City"
"三地門鄉","Sandimen Township"
"霧臺鄉","Wutai Township"
"瑪家鄉","Majia Township"
"九如鄉","Jiuru Township"
"里港鄉","Ligang Township"
"高樹鄉","Gaoshu Township"
"鹽埔鄉","Yanpu Township"
"長治鄉","Changzhi Township"
"麟洛鄉","Linluo Township"
"竹田鄉","Zhutian Township"
"內埔鄉","Neipu Township"
"萬丹鄉","Wandan Township"
"潮州鎮","Chaozhou Township"
"泰武鄉","Taiwu Township"
"來義鄉","Laiyi Township"
"萬巒鄉","Wanluan Township"
"崁頂鄉","Kanding Township"
"新埤鄉","Xinpi Township"
"南州鄉","Nanzhou Township"
"林邊鄉","Linbian Township"
"東港鎮","Donggang Township"
"琉球鄉","Liuqiu Township"
"佳冬鄉","Jiadong Township"
"新園鄉","Xinyuan Township"
"枋寮鄉","Fangliao Township"
"枋山鄉","Fangshan Township"
"春日鄉","Chunri Township"
"獅子鄉","Shizi Township"
"車城鄉","Checheng Township"
"牡丹鄉","Mudan Township"
"恆春鎮","Hengchun Township"
"滿州鄉","Manzhou Township"
"臺東市","Taitung City"
"綠島鄉","Ludao Township"
"蘭嶼鄉","Lanyu Township"
"延平鄉","Yanping Township"
"卑南鄉","Beinan Township"
"鹿野鄉","Luye Township"
"關山鎮","Guanshan Township"
"海端鄉","Haiduan Township"
"池上鄉","Chishang Township"
"東河鄉","Donghe Township"
"成功鎮","Chenggong Township"
"長濱鄉","Changbin Township"
"太麻里鄉","Taimali Township"
"金峰鄉","Jinfeng Township"
"大武鄉","Dawu Township"
"達仁鄉","Daren Township"
"花蓮市","Hualien City"
"新城鄉","Xincheng Township"
"秀林鄉","Xiulin Township"
"吉安鄉","Ji'an Township"
"壽豐鄉","Shoufeng Township"
"鳳林鎮","Fenglin Township"
"光復鄉","Guangfu Township"
"豐濱鄉","Fengbin Township"
"瑞穗鄉","Ruisui Township"
"萬榮鄉","Wanrong Township"
"玉里鎮","Yuli Township"
"卓溪鄉","Zhuoxi Township"
"富里鄉","Fuli Township"
"新竹市","Hsinchu City"
"新北市","New Taipei City"
"嘉義市","Chiayi City"
"雲林縣","Yunlin County"
"嘉義縣","Chiayi County"
"屏東縣","Pingtung County"
"南投縣","Nantou County"
"桃園縣","Taoyuan County"
"新竹縣","Hsinchu County"
"臺東縣","Taitung County"
"臺中市","Taichung City"
"基隆市","Keelung City"
"彰化縣","Changhua County"
"臺南市","Tainan City"
"澎湖縣","Penghu County"
"宜蘭縣","Yilan County"
"苗栗縣","Miaoli County"
"花蓮縣","Hualien County"
"臺北市","Taipei City"
"南海島","Nanhai Islands"
"連江縣","Lienchiang County"
"高雄市","Kaohsiung City"
"金門縣","Kinmen County"
